"Designator","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer","LCSC Part","Description"
"C1","1","4.7uF","","","","easyeda2kicad:C0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579707103457972224-C19666.pdf?response-content-disposition=attachment%3B%20filename%3DC19666.pdf%3B%20filename%2A%3DUTF-8%27%27C19666.pdf&x-oss-date=20260827T230819Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5vaEoyAlY9mwfGqZVDJrHcAO%2BYfuKPoijz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qbhI2Ewt557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWkph28tqg6HD0eS19jklBdzSlusJRAJJUVBflCeKEaRNSAd3WGhEfM2%2BBt4QT30w5N2u00S8OSMIpk3Sj6KWD5sagAFsoD7kQneFQCIR1fq5fC7IjsbxQKivUqXvtLFlHT9MygR6UVR3hCzpWjMHutWppeCWFZwnbzCpEpJ2P76BxL4tiTvZGuyWjaYFn768NNi1SqOcEHY2ETTSwPSOerIPVZVHY%2FLRHI4PstN82kLvMMIfEuEcXcYvg%2FGJUBKhJoRu0iAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NXoY64xPGv3AgvxHwU7i3WfCh%2F20260827%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=8b47bc0d553bdebd7ee28ba6f789c16dcee7132920e7121226719b5ce1f2058e","CL10A475KO8NNNC","Samsung Electro-Mechanics","C19666","Unpolarized capacitor, small symbol"
"C2,C3,C4,C5","4","0.1uF","","","","easyeda2kicad:C0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579707269992677376-C1525.pdf?response-content-disposition=attachment%3B%20filename%3DC1525.pdf%3B%20filename%2A%3DUTF-8%27%27C1525.pdf&x-oss-date=20260827T230922Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5vaEoyAlY9mwfGqZVDJrHcAO%2BYfuKPoijz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qbhI2Ewt557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWkph28tqg6HD0eS19jklBdzSlusJRAJJUVBflCeKEaRNSAd3WGhEfM2%2BBt4QT30w5N2u00S8OSMIpk3Sj6KWD5sagAFsoD7kQneFQCIR1fq5fC7IjsbxQKivUqXvtLFlHT9MygR6UVR3hCzpWjMHutWppeCWFZwnbzCpEpJ2P76BxL4tiTvZGuyWjaYFn768NNi1SqOcEHY2ETTSwPSOerIPVZVHY%2FLRHI4PstN82kLvMMIfEuEcXcYvg%2FGJUBKhJoRu0iAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NXoY64xPGv3AgvxHwU7i3WfCh%2F20260827%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=e7951d26dfa9bdbfd9dd9a929ed1e2a04ec92c559a4cc10213e65fb68332bc19","CL05B104KO5NNNC","Samsung Electro-Mechanics","C1525","Unpolarized capacitor, small symbol"
"J1","1","TSOP 1738","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","1","UPDI_Pad","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J3","1","Power_Pad","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J5","1","DevPad1","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J6","1","DevPad2","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Q1","1","Si2302CDS-T1-GE3","","","","easyeda2kicad:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/MOSFET_VISHAY_Si2302CDS-T1-GE3_Si2302CDS-T1-GE3_C10488.html","Si2302CDS-T1-GE3","VISHAY(威世)","C10488","Si2302CDS-T1-GE3"
"R1","1","180","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8755534832674197504-C137913.pdf?response-content-disposition=attachment%3B%20filename%3DC137913.pdf%3B%20filename%2A%3DUTF-8%27%27C137913.pdf&x-oss-date=20260826T202934Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5n%2BeMiCnK1AxvCqMVzCnVFgfctkmq%2BZljz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qcM092It557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWqpsX9Vf86HD0eS19jklBdzSlusJRAJJUVBflCeKEaRNSAd3WGhEfM2%2BBt4QT30w5N2u00S8OSMIBtoMiqKWD5sagAG0wWHwXAgrqBg6%2FDOCNquOU9utlWFrEcR7%2BoGfNOHsXOvMBqVp%2BDuP4PWft8Vluk9fmQDSCXgnV6r2MkOX4cUJ3%2BkMQQVqlSSotsLiTxMkn1XgE86eb4rwSEUk%2FE4qdxNtEmsf6L7%2BcpVuUibcplCJwrBixcn0tj6%2BGtnCqahDMSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZK3r6qraq2A3zsyQ5qDHuj2t%2F20260826%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=794e9340472b4a5faa61249e916cd1953458cb9a97b76ef3f4f49021a5c7dc90","RC0402JR-07180RL","YAGEO","C137913","Resistor, small symbol"
"R2","1","100","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705907476807680-C25076.pdf?response-content-disposition=attachment%3B%20filename%3DC25076.pdf%3B%20filename%2A%3DUTF-8%27%27C25076.pdf&x-oss-date=20260827T231056Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5vaEoyAlY9mwfGqZVDJrHcAO%2BYfuKPoijz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qbhI2Ewt557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWkph28tqg6HD0eS19jklBdzSlusJRAJJUVBflCeKEaRNSAd3WGhEfM2%2BBt4QT30w5N2u00S8OSMIpk3Sj6KWD5sagAFsoD7kQneFQCIR1fq5fC7IjsbxQKivUqXvtLFlHT9MygR6UVR3hCzpWjMHutWppeCWFZwnbzCpEpJ2P76BxL4tiTvZGuyWjaYFn768NNi1SqOcEHY2ETTSwPSOerIPVZVHY%2FLRHI4PstN82kLvMMIfEuEcXcYvg%2FGJUBKhJoRu0iAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NXoY64xPGv3AgvxHwU7i3WfCh%2F20260827%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=c2686fb0a0fe223d72fa5b50a665cf00930d881253b2b606644582fe5762139b","0402WGF1000TCE","UNI-ROYAL(Uniroyal Elec)","C25076","Resistor, small symbol"
