"Designator","Value","Package","MidX","MidY","Rotation","Layer"
"C1","4.7uF","C0402",144.766400,-103.987600,0.000000,top
"C2","0.1uF","C0402",144.766400,-105.156000,180.000000,top
"C3","0.1uF","C0402",152.820000,-113.334800,0.000000,top
"C4","0.1uF","C0402",152.349200,-110.032800,-90.000000,top
"C5","0.1uF","C0402",152.501600,-104.990000,90.000000,top
"J1","TSOP 1738","PinHeader_1x04_P2.54mm_Vertical",149.860000,-115.752500,90.000000,top
"J2","UPDI_Pad","PinHeader_1x03_P2.54mm_Vertical",152.400000,-119.308500,90.000000,top
"J3","Power_Pad","PinHeader_1x02_P2.54mm_Vertical",141.097000,-115.752500,90.000000,top
"J5","DevPad1","PinHeader_1x08_P2.54mm_Vertical",141.097000,-94.289500,0.000000,top
"J6","DevPad2","PinHeader_1x08_P2.54mm_Vertical",157.480000,-94.320000,0.000000,top
"Q1","Si2302CDS-T1-GE3","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",146.304000,-119.181500,0.000000,top
"R1","180","R0402",140.614400,-119.048000,-90.000000,top
"R2","100","R0402",149.200000,-119.330000,-90.000000,top
"R3","5.1k","R0402",152.480000,-97.864400,90.000000,top
"R4","5.1k","R0402",146.050000,-97.864400,-90.000000,top
"R_UPDI0","470","R0402",146.812000,-114.428800,-90.000000,top
"U1","ATTINY1616-MNR","QFN-20_L3.0-W3.0-P0.40-BL-EP1.7",149.265000,-109.537200,90.000000,top
"U2","IR16-213C/L510/TR8","LED0402-FD_YELLOW",142.741400,-119.481600,0.000000,top
"U3","CH340N_C2977777","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL",149.265000,-102.248000,180.000000,top
"USB1","HYCW671-USBC14-115B","USB-SMD_HYCW671-USBC14-115B",149.265000,-92.748000,180.000000,top
