,,,,,$,$,
S.No,Name,Desc,Qty,Product URL,Cost Per Item,Effective Cost,Image
1,JLCPCB_PCB,PCB,1,~,7,7,./PCB/JLC_Order/jlc_cart.png
2,JLCPCB_Assembly,PCB Assembly,1,~,35.27,35.27,
3,JLCPCB_Shipping,Lowest price shipping: UPS Worldwide Express Saver,1,~,9.03,9.03,
4,JLCPCB_Coupons,~,1,~,-10,-10,
5,TSOP 1738,IR Receiver Module,1,https://robocraze.com/products/tsop-1738?_pos=6&_sid=ae6cf2b3a&_ss=r,0.43,0.43,./PCB/JLC_Order/rbcrz_cart.png
6,Shipping for IR Receiver,Shipping for IR Receiver,1,https://robocraze.com/products/tsop-1738?_pos=6&_sid=ae6cf2b3a&_ss=r,0.51,0.51,
,,,,,,,
,,,,,Total ($):,42.24,
